Function identifier, Function label, calls, execution time(μs)
63, list[get], 14520, 28282
47, int[-], 4580, 3763
46, int[+], 10120, 8249
92, <, 9821, 48845
107, Queens[set_row_column], 2180, 55679
106, Queens[get_row_column], 8760, 92660
90, =, 1130, 3520
41, lambda-41, 9810, 18829
105, Queens[place_queen], 1130, 1515534
104, Queens[queens], 10, 272709
86, -, 4580, 12474
102, Queens[benchmark], 1, 272872
85, +, 10120, 41445
52, int[<], 9821, 6893
51, int[=], 1130, 814
64, list[set], 7670, 17467
