Function identifier, Function label, calls, execution time(μs)
47, int[-], 913, 776
63, list[get], 5000, 6271
95, >=, 1426, 5161
46, int[+], 10400, 12238
94, >, 10000, 52836
92, <, 15303, 71392
43, int[neg], 713, 571
107, custom_abs, 1426, 9880
106, Random[next], 400, 9068
90, =, 1, 8
41, lambda-41, 6581, 14371
89, %, 400, 2669
105, Bounce[verify_result], 1, 9
56, int[&], 400, 428
104, Bounce[benchmark], 1, 304957
87, *, 400, 1765
103, Ball[bounce], 5000, 186268
55, int[>=], 1426, 1027
86, -, 913, 3029
102, Ball[init-values], 100, 14599
54, int[>], 10000, 7145
85, +, 10400, 43359
52, int[<], 15303, 20090
51, int[=], 1, 4
50, int[%], 400, 473
66, list[length], 5050, 3860
65, list[put], 100, 110
48, int[*], 400, 409
96, &, 400, 2567
64, list[set], 100, 152
