Function identifier, Function label, calls, execution time(μs)
46, int[+], 9, 24
108, List[verify_result], 1, 12
91, !=, 20859, 87077
107, List[tail], 2809, 1990057
90, =, 18797, 45337
42, lambda-42, 31, 194
106, List[is_shorter_than], 2809, 186551
105, List[make_list], 34, 10666
104, List[benchmark], 1, 197939
103, Element[length], 10, 609
102, Element[init-values], 31, 68
85, +, 9, 40
4, base[=], 39621, 27530
51, int[=], 35, 81
99, not, 20859, 14467
