Function identifier, Function label, calls, execution time(μs)
95, >=, 8092, 19238
63, list[get], 16396, 22851
47, int[-], 8190, 10405
109, Towers[verify_result], 1, 9
108, Towers[benchmark], 1, 403735
91, !=, 8205, 34451
107, Towers[_move_disks], 8191, 4746030
42, lambda-42, 8204, 13786
106, Towers[_build_tower_at], 1, 1414
90, =, 8192, 43850
41, lambda-41, 8191, 18421
105, Towers[_move_top_disk], 8191, 248009
104, Towers[_pop_disk_from], 8191, 45625
55, int[>=], 8092, 5766
103, Towers[_push_disk], 8205, 122596
102, _TowersDisk[init-values], 14, 33
86, -, 8190, 35821
4, base[=], 8205, 5777
99, not, 8205, 5736
51, int[=], 8192, 6174
64, list[set], 16396, 19199
