Function identifier, Function label, calls, execution time(μs)
63, list[get], 4999, 16520
46, int[+], 11738, 9454
93, <=, 11738, 61362
92, <, 10001, 63452
42, lambda-42, 16068, 47601
90, =, 5000, 11433
41, lambda-41, 15668, 28206
104, Sieve[verify_result], 1, 8
103, Sieve[_sieve], 1, 442110
102, Sieve[benchmark], 1, 442122
85, +, 11738, 41149
53, int[<=], 11738, 8270
52, int[<], 10001, 16375
4, base[=], 4999, 3429
51, int[=], 1, 3
65, list[put], 5000, 3858
64, list[set], 11069, 37131
