Function identifier,Function label,calls,inclusive execution time(ticks),inclusive execution time(ticks)_std,exclusive execution time(ticks),exclusive execution time(ticks)_std,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
0,repl,21,109817520.9,2241627.9463664745,183773.2,14209.507927329578,40673.15588888889,830.2325727283239,68.06414814814815,5.262780713825769
6,base.=,39621,6563660.9,149740.35786826437,6563660.9,149740.35786826437,2430.985518518519,55.459391803060875,2430.985518518519,55.459391803060875
44,lambda-44,31,434581.6,25146.63379041962,335908.9,19716.63038868992,160.95614814814815,9.313568070525784,124.41070370370372,7.302455699514785
48,int.+,9,70491.5,14622.17675313768,70491.5,14622.17675313768,26.10796296296296,5.415621019680622,26.10796296296296,5.415621019680622
49,int.-,31,98672.7,10696.211513772923,98672.7,10696.211513772923,36.54544444444444,3.9615598199158977,36.54544444444444,3.9615598199158977
53,int.=,35,47603.7,2793.5554613770373,47603.7,2793.5554613770373,17.631,1.0346501708803841,17.631,1.0346501708803841
87,+,9,83022.7,14722.914603826886,12531.2,768.0653480970017,30.749148148148148,5.452931334750699,4.6411851851851855,0.28446864744333394
92,=,18797,27750561.1,577482.557372665,24688784.9,513245.0831202828,10277.985592592593,213.8824286565426,9143.994407407406,190.09077152603066
93,!=,20859,43787937.3,892572.8557268173,34086738.8,686600.3735784473,16217.754555555555,330.58253915808046,12624.718074074073,254.29643465868418
101,not,20859,6151710.1,142274.299648287,6151710.1,142274.299648287,2278.411148148148,52.694185054921114,2278.411148148148,52.694185054921114
104,Element.init-values,31,36630.4,10006.782617699595,36630.4,10006.782617699595,13.566814814814816,3.7062157843331835,13.566814814814816,3.7062157843331835
105,Element.length,10,769553.7,86507.88665786794,38871.7,1604.090859088266,285.0198888888889,32.039958021432575,14.396925925925926,0.5941077255882466
106,Element.init,31,59885.0,4073.059705973022,59885.0,4073.059705973022,22.17962962962963,1.50854063184186,22.17962962962963,1.50854063184186
107,List.benchmark,1,109617823.1,2241370.376382735,35859.4,4560.784517002126,40599.19374074074,830.13717643805,13.28125925925926,1.6891794507415283
108,List.make_list,34,14599039.1,856923.9133909453,983155.8,62376.84419178574,5407.051518518519,317.3792271818316,364.1317777777778,23.10253488584657
109,List.is_shorter_than,2809,102528246.6,2112540.8045484317,31878117.8,686361.1398332646,37973.424666666666,782.4225202031229,11806.710296296296,254.2078295678758
110,List.tail,2809,1089310415.8,23992222.64896365,4544063.3,134509.57521506323,403448.3021481481,8886.008388505055,1682.9864074074073,49.81836119076416
111,List.verify_result,1,15924.6,471.7310116670524,1061.6,226.9881517891002,5.898000000000001,0.1747151895063157,0.39318518518518514,0.08406968584781488
