Function identifier,Function label,calls,inclusive execution time(ticks),inclusive execution time(ticks)_std,exclusive execution time(ticks),exclusive execution time(ticks)_std,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
0,repl,42,18562238459.7,135275790.4618551,325260.5,11115.742518466423,6874903.133222222,50102.14461550189,120.46685185185186,4.116941673506083
2,base.class,27065,2636662.3,42895.78839478909,2636662.3,42895.78839478909,976.5415925925926,15.88732903510707,976.5415925925926,15.88732903510707
6,base.=,89328,13338385.1,127874.96186258623,13338385.1,127874.96186258623,4940.1426296296295,47.36109698614305,4940.1426296296295,47.36109698614305
43,lambda-43,278737,2395750025.4,7643247.436496148,1830412119.9,5610542.413171404,887314.8242222222,2830.832383887462,677930.4147777779,2077.9786715449645
44,lambda-44,2003,1642318.1,42089.36720573193,1181118.8,31885.855847315583,608.265962962963,15.588654520641455,437.45140740740743,11.809576239746512
48,int.+,305749,570649996.1,3499345.6703709275,570649996.1,3499345.6703709275,211351.85040740742,1296.0539519892325,211351.85040740742,1296.0539519892325
49,int.-,19081,5064899.3,60827.422535615544,5064899.3,60827.422535615544,1875.8886296296296,22.52867501319094,1875.8886296296296,22.52867501319094
50,int.*,25133,488726888.5,1929190.3913921956,488726888.5,1929190.3913921956,181009.9587037037,714.5149597748873,181009.9587037037,714.5149597748873
51,int./,11,5494.5,270.57745267249584,5494.5,270.57745267249584,2.035,0.10021387136018364,2.035,0.10021387136018364
53,int.=,270337,54555270.2,1821444.0695777507,54555270.2,1821444.0695777507,20205.65562962963,674.6089146584262,20205.65562962963,674.6089146584262
54,int.<,262125,109503065.5,462878.3821191147,109503065.5,462878.3821191147,40556.69092592593,171.43643782189432,40556.69092592593,171.43643782189432
55,int.<=,2006,370696.2,23421.98321325725,370696.2,23421.98321325725,137.2948888888889,8.674808597502684,137.2948888888889,8.674808597502684
56,int.>,12027,2266896.7,34850.76443939958,2266896.7,34850.76443939958,839.5913703703704,12.907690533110955,839.5913703703704,12.907690533110955
57,int.>=,27045,217129883.7,2056825.2213343685,217129883.7,2056825.2213343685,80418.47544444444,761.787119012729,80418.47544444444,761.787119012729
58,int.&,3032,12207127.2,1231917.0804572334,12207127.2,1231917.0804572334,4521.158222222222,456.26558535453086,4521.158222222222,456.26558535453086
60,int.^,3032,12366783.6,193276.07683540165,12366783.6,193276.07683540165,4580.290222222222,71.58373216125987,4580.290222222222,71.58373216125987
