# Code label is the function/method name. Exceptions: if it is the top-level code, it is "repl", classes field and init have their labels as well
Bytecode ID,Label,Inclusive Compilation Time(μs),Inclusive Compilation Time(μs)_std
0,lambda-43,2.84,1.2182288917330197
1,lambda-44,4.36,1.453496839083075
2,lambda-64,25.18,9.025338480848104
3,+,1.92,0.8040712731125881
4,repl,24.24,8.479410838216609
5,-,3.86,1.3851987258888458
6,repl,22.68,8.029130636346014
7,*,1.56,0.7045044574821686
8,repl,20.28,9.31323394587574
9,/,1.52,0.6773296909216969
10,repl,20.98,7.797147568443325
11,%,1.52,0.6141195788629906
12,repl,21.3,7.62447723199594
13,=,1.5,0.6776309271789385
14,repl,19.06,6.689650855719494
15,!=,4.34,1.5065841889411116
16,repl,42.22,14.996992895856398
17,<,4.16,1.84457284475074
18,repl,23.66,8.40459058236288
19,<=,1.56,0.6749149606295837
20,repl,21.46,7.462039990265836
21,>,1.48,0.6464976285134147
22,repl,19.18,7.141971373650333
23,>=,3.84,1.3455899244933276
24,repl,21.16,7.571051203533799
25,&,1.58,0.6727949622466638
26,repl,20.22,7.352050942507437
27,|,4.16,1.6333263917664518
28,repl,21.52,7.578810417667061
29,^,1.62,0.696639162299235
30,repl,19.08,6.862616862690327
31,not,1.72,0.8091315576289312
32,repl,23.0,8.231348737650247
33,print,1.78,0.763718080264209
34,repl,37.76,13.344050114915929
35,println,2.54,0.9733174912511899
36,repl,53.64,19.07745758100649
37,Mandelbrot.inner_benchmark_loop,3.14,1.1067510827569464
38,Mandelbrot.benchmark,1.58,0.7024737630368141
39,Mandelbrot.verify_result,1.44,0.6439672954048368
40,Mandelbrot._verify_result,15.5,5.399357482561215
41,Mandelbrot._mandelbrot,40.82,14.122915233544298
42,repl,7607.68,1463.6558985594104
43,repl,1.28,0.49651849134236486
44,repl,1.5,0.5439837932759934
