# Code label is the function/method name. Exceptions: if it is the top-level code, it is "repl", classes field and init have their labels as well
Bytecode ID,Label,Inclusive Compilation Time(μs),Inclusive Compilation Time(μs)_std
0,lambda-43,5.88,0.7461465632686054
1,lambda-44,3.58,0.7309485031694875
2,lambda-64,46.1,5.646924393157821
3,+,3.74,0.5272183453498838
4,repl,45.82,5.998945485564568
5,-,7.84,1.0567566862232531
6,repl,44.36,5.691956372543519
7,*,3.0,0.4948716593053937
8,repl,38.88,7.802772924167565
9,/,2.78,0.5066899385990915
10,repl,43.8,5.872801368884135
11,%,2.92,0.3958973274443148
12,repl,37.3,4.85399057372343
13,=,2.68,0.6207303137828695
14,repl,36.9,4.674070899709397
15,!=,8.72,1.1959114020832198
16,repl,77.62,9.971162501566862
17,<,7.72,1.4988430912690285
18,repl,45.72,5.872940368455017
19,<=,2.82,0.4819179369552286
20,repl,45.62,6.353176933067197
21,>,2.88,0.43518703462079467
22,repl,37.46,5.842175999416934
23,>=,7.66,1.0421719862765415
24,repl,45.5,5.918666424533313
25,&,2.88,0.4351870346207948
26,repl,39.38,5.721031732269335
27,|,8.64,1.837922518408616
28,repl,42.36,5.557712053111976
29,^,2.82,0.4819179369552286
30,repl,36.96,5.034412192346686
31,not,3.22,0.5066899385990914
32,repl,44.56,5.739800181404313
33,print,3.62,1.9154580631892557
34,repl,69.18,8.906979606706512
35,println,4.8,0.6388765649999399
36,repl,107.54,13.990098539426274
37,repl,7.7,0.9313146293146644
38,vector_with,6.34,0.9606545387688245
39,empty_vec,9.08,1.2590894020874688
40,max,9.18,1.2727922061357855
41,Vector.init,5.28,0.9484681527255905
42,Vector.init-values,5.66,0.7722218143851189
43,Vector.at,12.1,1.7053337694733313
44,Vector.at_put,34.72,5.006281768224513
45,Vector.append,23.18,6.659931972441687
46,Vector.is_empty,2.52,0.8628382211738002
47,Vector.for_each,10.14,3.3136083051561784
48,Vector.has_some,7.76,2.254790817937012
49,Vector.get_one,9.16,2.6981475126464085
50,Vector.first,3.18,0.9623525596056739
51,Vector.remove_first,7.28,1.979898987322333
52,State.init,3.14,0.9478224237370496
53,each,8.16,2.1510320256821385
54,Vector.remove,178.72,46.71452162456814
55,Vector.remove_all,7.68,1.8891743148361761
56,Vector.size,4.56,1.1095135907970057
57,Vector.capacity,2.58,0.7583548251421143
58,Vector.sort,6.26,1.5883504471171161
59,Vector._sort,49.04,11.605698811271951
60,Vector._swap,1.6,0.49487165930539356
61,Vector._default_sort,1.26,1.4258545593747616
62,repl,17381.3,1477.2023786018417
63,_compare_numbers,5.76,0.715997947779524
64,repl,168.36,10.301099604470606
65,_Vector2D.init,1.82,1.6865615304276234
66,_Vector2D.init-values,3.68,0.6207303137828694
67,_Vector2D.plus,2.88,0.3854496446637727
68,_Vector2D.minus,4.76,0.656521445318632
69,_Vector2D.compare_to,5.32,1.5311726865113444
70,repl,336.8,14.033487645991784
71,_Vector3D.init,1.74,0.4430874976934521
72,_Vector3D.init-values,2.0,0.20203050891044216
73,_Vector3D.plus,3.5,0.5050762722761054
74,_Vector3D.minus,3.32,0.4712120714991613
75,_Vector3D.dot,3.08,0.3958973274443148
76,_Vector3D.squared_magnitude,1.2,0.40406101782088427
77,_Vector3D.magnitude,1.72,0.4535573676110727
78,_Vector3D.times,5.0,0.5714285714285714
79,repl,758.46,27.759322758309498
80,_tree_minimum,2.3,0.4629100498862757
81,repl,68.34,3.9621165236447524
82,_Node.init,3.1,1.0546302185880998
83,_Node.init-values,3.62,0.9233921492109892
84,_Node.successor,4.36,0.4848732213850611
85,repl,346.46,16.342270219231093
86,_Entry.init,1.48,0.5046720495044484
87,_Entry.init-values,1.64,0.4848732213850611
88,repl,40.22,3.3276209556513185
89,_InsertResult.init,1.74,0.44308749769345224
90,_InsertResult.init-values,2.16,0.42185208743523994
91,repl,58.14,5.010234423616508
92,_RedBlackTree.init,1.14,0.3505098327538657
93,_RedBlackTree.put,27.54,2.4261332298494223
94,_RedBlackTree.remove,28.28,2.6957260201122444
95,_RedBlackTree.get,2.94,0.5115003939990903
96,_RedBlackTree.for_each,7.2,0.8081220356417685
97,_RedBlackTree._find_node,6.84,0.6180945043652553
98,_RedBlackTree._tree_insert,17.44,0.8843307166024098
99,_RedBlackTree._left_rotate,12.2,2.147613768338987
100,_RedBlackTree._right_rotate,11.24,1.623299738439062
101,_RedBlackTree._remove_fixup,41.92,7.75081299224903
102,repl,22075.24,1803.979575430783
103,_CallSign.init,1.22,0.41845195759648035
104,_CallSign.init-values,1.3,0.4629100498862757
105,_CallSign.compare_to,3.28,2.3650516670371284
106,repl,111.18,14.804425703422718
107,_Collision.init,2.06,0.37307328163430276
108,_Collision.init-values,4.46,0.8134080483135291
109,repl,64.64,8.317083476256592
110,_CollisionDetector.init,1.32,0.4712120714991611
111,each,7.98,0.9365590516047866
112,for_removal,2.44,0.5405967979549856
113,find_collisions,13.76,1.450685974261269
114,_CollisionDetector.handle_new_frame,1480.94,235.19209777784386
115,repl,1815.2,282.8945862662902
116,repl,1.06,0.3730732816343027
117,repl,2.98,0.37742413753208304
118,_is_in_voxel,64.04,7.780037248743526
119,repl,17361.08,2346.434358244658
120,_put_into_map,4.6,0.832993127835043
121,repl,174.46,24.68843404329655
122,_recurse,20.3,2.111677928442069
123,repl,2235.98,318.54743599594684
124,lambda,3.48,0.5436085025840129
125,each,4.58,0.6417450698633201
126,_reduce_collision_set,85.24,10.647525342461854
127,repl,188.26,24.30991231441804
128,_voxel_hash,13.82,2.047297870713632
129,repl,695.42,99.17724599145201
130,_draw_motion_on_voxel_map,3.1,0.6144518047887589
131,repl,65.42,8.339945675935246
132,_Motion.init,4.26,0.48697315854455175
133,_Motion.init-values,2.42,0.5379477252503637
134,_Motion.delta,1.72,0.4965184913423648
135,_Motion.find_intersection,54.8,5.876275371772322
136,repl,10517.26,1458.8463825074596
137,_Aircraft.init,1.92,0.4444671196029727
138,_Aircraft.init-values,1.9,0.4629100498862757
139,repl,48.58,7.401296080651641
140,_Simulator.init,1.48,0.5046720495044484
141,_Simulator.init-values,8.0,0.8329931278350429
142,_Simulator.simulate,20.12,2.3529399759900893
143,repl,2529.32,370.8203503651034
144,CD._benchmark,11.56,1.5670067658059534
145,CD.inner_benchmark_loop,2.18,0.4375255094603873
146,CD._verify_result,15.3,1.854393569392453
147,CD.benchmark,3.48,0.9527618286018895
148,CD.verify_result,3.22,0.8873257230439735
149,repl,1193.06,172.22996136513746
150,repl,0.98,0.24660966430902947
151,repl,1.2,0.4040610178208843
