Line Number,Bytecode ID,Instruction Index,Function identifier,Function label,Instruction,Hits,Misses
1,0,4,42,lambda-42,LOAD_FIELD,1750003,4750022
1,3,4,86,+,LOAD_FIELD,0,16250050
1,5,4,87,-,LOAD_FIELD,4500018,10500025
1,7,4,88,*,LOAD_FIELD,18750009,25000093
1,9,4,89,/,LOAD_FIELD,2499999,14
1,13,4,91,=,LOAD_FIELD,0,2
1,17,4,93,<,LOAD_FIELD,499998,6500030
19,44,16,103,_Body.init-values,STORE_FIELD,4,1
20,44,40,103,_Body.init-values,STORE_FIELD,4,1
21,44,64,103,_Body.init-values,STORE_FIELD,4,1
22,44,104,103,_Body.init-values,STORE_FIELD,4,1
23,44,144,103,_Body.init-values,STORE_FIELD,4,1
24,44,184,103,_Body.init-values,STORE_FIELD,4,1
25,44,224,103,_Body.init-values,STORE_FIELD,4,1
29,45,48,104,_Body.offset_momentum,STORE_FIELD,0,1
30,45,104,104,_Body.offset_momentum,STORE_FIELD,0,1
31,45,160,104,_Body.offset_momentum,STORE_FIELD,0,1
37,46,24,105,jupiter,LOAD_FIELD,0,1
52,48,24,106,saturn,LOAD_FIELD,0,1
66,50,24,107,uranus,LOAD_FIELD,0,1
80,52,24,108,neptune,LOAD_FIELD,0,1
94,54,24,109,sun,LOAD_FIELD,0,1
106,56,156,110,_create_bodies,LOAD_FIELD,5,1
107,56,180,110,_create_bodies,LOAD_FIELD,4,1
109,56,232,110,_create_bodies,LOAD_FIELD,4,1
109,56,240,110,_create_bodies,LOAD_FIELD,4,1
110,56,296,110,_create_bodies,LOAD_FIELD,4,1
110,56,288,110,_create_bodies,LOAD_FIELD,4,1
111,56,344,110,_create_bodies,LOAD_FIELD,4,1
111,56,352,110,_create_bodies,LOAD_FIELD,4,1
113,56,380,110,_create_bodies,LOAD_FIELD,0,5
116,56,416,110,_create_bodies,LOAD_FIELD,0,1
117,56,448,110,_create_bodies,LOAD_FIELD,0,1
125,59,36,111,NBodySystem.advance,LOAD_FIELD,1499999,1
125,59,32,111,NBodySystem.advance,LOAD_FIELD,1499999,1
126,59,64,111,NBodySystem.advance,LOAD_FIELD,1249999,1
126,59,60,111,NBodySystem.advance,LOAD_FIELD,1249999,1
128,59,96,111,NBodySystem.advance,LOAD_FIELD,249999,1000001
129,59,136,111,NBodySystem.advance,LOAD_FIELD,3749999,1
129,59,140,111,NBodySystem.advance,LOAD_FIELD,3749999,1
130,59,164,111,NBodySystem.advance,LOAD_FIELD,2499999,1
130,59,168,111,NBodySystem.advance,LOAD_FIELD,2499999,1
132,59,216,111,NBodySystem.advance,LOAD_FIELD,2499999,1
132,59,208,111,NBodySystem.advance,LOAD_FIELD,2499999,1
133,59,248,111,NBodySystem.advance,LOAD_FIELD,2499999,1
133,59,256,111,NBodySystem.advance,LOAD_FIELD,2499999,1
134,59,296,111,NBodySystem.advance,LOAD_FIELD,2499999,1
134,59,288,111,NBodySystem.advance,LOAD_FIELD,2499999,1
137,59,416,111,NBodySystem.advance,LOAD_FIELD,0,2500000
140,59,532,111,NBodySystem.advance,LOAD_FIELD,2499999,1
140,59,504,111,NBodySystem.advance,LOAD_FIELD,2499999,1
140,59,560,111,NBodySystem.advance,STORE_FIELD,2499999,1
141,59,640,111,NBodySystem.advance,STORE_FIELD,2499999,1
141,59,584,111,NBodySystem.advance,LOAD_FIELD,2499999,1
141,59,612,111,NBodySystem.advance,LOAD_FIELD,2499999,1
142,59,664,111,NBodySystem.advance,LOAD_FIELD,2499999,1
142,59,692,111,NBodySystem.advance,LOAD_FIELD,2499999,1
142,59,720,111,NBodySystem.advance,STORE_FIELD,2499999,1
