Line Number,Bytecode ID,Instruction Index,Function identifier,Function label,Instruction,Hits,Misses
1,0,4,42,lambda-42,LOAD_FIELD,2238,7572
1,3,4,86,+,LOAD_FIELD,4419,5701
1,5,4,87,-,LOAD_FIELD,3529,1051
1,13,4,91,=,LOAD_FIELD,429,701
1,17,4,93,<,LOAD_FIELD,1129,8692
17,41,96,103,Queens.benchmark,LOAD_FIELD,0,10
16,41,68,103,Queens.benchmark,LOAD_FIELD,9,1
30,43,292,105,Queens.queens,LOAD_FIELD,9,1
27,43,224,105,Queens.queens,STORE_FIELD,9,1
26,43,136,105,Queens.queens,STORE_FIELD,9,1
25,43,48,105,Queens.queens,STORE_FIELD,9,1
28,43,280,105,Queens.queens,STORE_FIELD,9,1
47,44,276,106,Queens.place_queen,LOAD_FIELD,1119,7561
44,44,236,106,Queens.place_queen,LOAD_FIELD,1049,1
42,44,192,106,Queens.place_queen,LOAD_FIELD,429,691
42,44,180,106,Queens.place_queen,LOAD_FIELD,1119,1
39,44,104,106,Queens.place_queen,LOAD_FIELD,1129,1
37,44,44,106,Queens.place_queen,LOAD_FIELD,8759,1
38,44,72,106,Queens.place_queen,LOAD_FIELD,1129,1
38,44,76,106,Queens.place_queen,LOAD_FIELD,1120,10
56,45,76,107,Queens.get_row_column,LOAD_FIELD,2399,1
55,45,4,107,Queens.get_row_column,LOAD_FIELD,8759,1
56,45,80,107,Queens.get_row_column,LOAD_FIELD,2390,10
55,45,36,107,Queens.get_row_column,LOAD_FIELD,3350,10
55,45,32,107,Queens.get_row_column,LOAD_FIELD,3359,1
55,45,8,107,Queens.get_row_column,LOAD_FIELD,8750,10
63,46,84,108,Queens.set_row_column,LOAD_FIELD,2179,1
63,46,88,108,Queens.set_row_column,LOAD_FIELD,2170,10
62,46,40,108,Queens.set_row_column,LOAD_FIELD,2170,10
62,46,36,108,Queens.set_row_column,LOAD_FIELD,2179,1
61,46,8,108,Queens.set_row_column,LOAD_FIELD,2170,10
61,46,4,108,Queens.set_row_column,LOAD_FIELD,2179,1
67,49,4,0,repl,LOAD_FIELD,0,1
