Line Number,Bytecode ID,Instruction Index,Function identifier,Function label,Instruction,Hits,Misses
676,207,64,228,_ScaleConstraint.inputs_do,LOAD_FIELD,1000,1
677,207,88,228,_ScaleConstraint.inputs_do,LOAD_FIELD,1000,1
679,207,112,228,_ScaleConstraint.inputs_do,LOAD_FIELD,0,1
680,207,136,228,_ScaleConstraint.inputs_do,LOAD_FIELD,0,1
681,207,160,228,_ScaleConstraint.inputs_do,LOAD_FIELD,0,1
686,208,12,229,_ScaleConstraint.recalculate,LOAD_FIELD,5005,1
687,208,32,229,_ScaleConstraint.recalculate,LOAD_FIELD,5003,1
688,208,52,229,_ScaleConstraint.recalculate,LOAD_FIELD,5003,1
691,208,72,229,_ScaleConstraint.recalculate,LOAD_FIELD,1,1
692,208,92,229,_ScaleConstraint.recalculate,LOAD_FIELD,1,1
695,208,120,229,_ScaleConstraint.recalculate,LOAD_FIELD,5005,1
695,208,148,229,_ScaleConstraint.recalculate,STORE_FIELD,5005,1
695,208,116,229,_ScaleConstraint.recalculate,LOAD_FIELD,5005,1
695,208,132,229,_ScaleConstraint.recalculate,LOAD_FIELD,5005,1
696,208,180,229,_ScaleConstraint.recalculate,LOAD_FIELD,5003,1
696,208,208,229,_ScaleConstraint.recalculate,STORE_FIELD,5005,1
696,208,164,229,_ScaleConstraint.recalculate,LOAD_FIELD,5005,1
696,208,192,229,_ScaleConstraint.recalculate,LOAD_FIELD,4003,1
696,208,196,229,_ScaleConstraint.recalculate,LOAD_FIELD,4003,1
696,208,176,229,_ScaleConstraint.recalculate,LOAD_FIELD,5003,1
698,208,232,229,_ScaleConstraint.recalculate,LOAD_FIELD,2004,1000
698,208,220,229,_ScaleConstraint.recalculate,LOAD_FIELD,5005,1
717,218,16,231,_Variable.init-values,STORE_FIELD,3002,1
718,218,44,231,_Variable.init-values,STORE_FIELD,3002,1
719,218,60,231,_Variable.init-values,LOAD_FIELD,0,3003
719,218,56,231,_Variable.init-values,LOAD_FIELD,3002,1
722,219,4,232,_Variable.add_constraint,LOAD_FIELD,7005,1
722,219,8,232,_Variable.add_constraint,LOAD_FIELD,4003,3003
725,220,4,233,_Variable.remove_constraint,LOAD_FIELD,9,1
725,220,8,233,_Variable.remove_constraint,LOAD_FIELD,5,5
726,220,72,233,_Variable.remove_constraint,STORE_FIELD,4,1
726,220,40,233,_Variable.remove_constraint,LOAD_FIELD,9,1
731,223,4,0,repl,LOAD_FIELD,0,1
