# Code label is the function/method name. Exceptions: if it is the top-level code, it is "repl", classes field and init have their labels as well
Bytecode ID,Label,Inclusive Compilation Time(μs),Inclusive Compilation Time(μs)_std
0,lambda-43,4.04,1.105828713163636
1,lambda-44,5.86,1.2618418672556333
2,lambda-64,34.78,8.464306811305836
3,+,2.82,0.8253632471802449
4,repl,33.8,7.315066922566919
5,-,5.8,1.4142135623730951
6,repl,36.7,8.894506444877042
7,*,2.24,0.5554920598635309
8,repl,27.8,6.151157183317423
9,/,2.22,0.5066899385990914
10,repl,29.86,6.842275549397111
11,%,2.18,0.5602477586036451
12,repl,28.26,6.936475609237808
13,=,2.18,0.48191793695522855
14,repl,27.4,6.104531605491856
15,!=,6.5,1.4463183379511848
16,repl,58.0,12.89201619734683
17,<,5.5,1.4033487645991787
18,repl,34.34,7.5067588592833205
19,<=,2.18,0.5955618167335951
20,repl,30.68,6.759543517977273
21,>,1.98,0.552914356581818
22,repl,27.62,5.999625838673744
23,>=,5.62,1.3685982699425703
24,repl,33.84,7.402040534989839
25,&,2.14,0.5717856027482714
26,repl,28.8,6.461818787370652
27,|,6.28,1.8410289935528013
28,repl,31.68,6.885180773640897
29,^,2.2,0.5345224838248489
30,repl,27.24,6.022271589860493
31,not,2.54,0.676425177242955
32,repl,33.64,7.230208736084107
33,print,2.46,0.7342912729083655
34,repl,52.02,11.641744030927354
35,println,3.64,0.8020382198638969
36,repl,76.5,16.395930306397528
37,_Body.init,7.1,1.6444092047459054
38,_Body.init-values,10.94,2.298269091365615
39,_Body.offset_momentum,8.42,2.441896218690946
40,jupiter,8.1,1.7525491637693285
41,repl,1007.14,205.5487439087113
42,saturn,7.42,1.629949291811727
43,repl,55.94,11.993893003848047
44,uranus,3.74,0.852607046364387
45,repl,50.36,10.607582963452636
46,neptune,3.7,0.7889543583705186
47,repl,48.28,9.920171163763623
48,sun,3.6,0.7284313590846837
49,repl,47.56,9.540803885182326
50,_create_bodies,29.66,6.650487169511473
51,repl,1885.32,348.66781103075687
52,NBodySystem.init,6.28,1.2783918469255484
53,NBodySystem.advance,75.12,14.269476485970793
54,NBodySystem.energy,21.58,1.5660948442621505
55,repl,19373.44,1211.0357038165173
56,NBody.inner_benchmark_loop,6.08,1.6142225019229186
57,NBody._verify_result,7.06,0.7117096404046371
58,NBody.benchmark,1.06,0.2398979374820952
59,NBody.verify_result,0.96,0.28284271247461895
60,repl,463.08,26.07511911256963
61,repl,1.02,0.14142135623730948
62,repl,1.16,0.37032803990902063
