# Execution time is the total time spent inside the callee
caller identifier id,caller label,callee identifier id,callee label,calls,execution time(ticks),execution time(ticks)_std,execution time(μs),execution time(μs)_std
0,repl,87,+,1000000,4237666764.0,121834291.48211038,1569506.2088888888,45123.81166004088
0,repl,94,<,1000001,5313454900.5,49872980.72257886,1967946.2594444444,18471.474341695874
87,+,48,int.+,1000000,180333492.6,1737669.5655242119,66790.18244444444,643.5813205645229
94,<,54,int.<,1000001,118065933.6,1591010.738168346,43728.123555555554,589.2632363586466
