Line Number,Bytecode ID,Instruction Index,Function identifier,Function label,Instruction,Hits,Misses,Classes seen
1,13,4,92,=,LOAD_FIELD,18745,52,3
1,1,4,44,lambda-44,LOAD_FIELD,0,31,1
1,15,12,93,!=,LOAD_FIELD,20843,16,2
1,3,4,87,+,LOAD_FIELD,8,1,1
6,37,16,106,Element.init,STORE_FIELD,30,1,1
7,37,40,106,Element.init,STORE_FIELD,30,1,1
8,38,16,104,Element.init-values,STORE_FIELD,30,1,1
10,39,12,105,Element.length,LOAD_FIELD,9,1,1
10,39,56,105,Element.length,LOAD_FIELD,0,9,1
10,39,52,105,Element.length,LOAD_FIELD,8,1,1
18,41,4,107,List.benchmark,LOAD_FIELD,0,1,1
18,41,16,107,List.benchmark,LOAD_FIELD,0,1,1
18,41,36,107,List.benchmark,LOAD_FIELD,0,1,1
18,41,56,107,List.benchmark,LOAD_FIELD,0,1,1
20,41,92,107,List.benchmark,LOAD_FIELD,0,1,1
27,42,56,108,List.make_list,LOAD_FIELD,0,31,1
28,42,96,108,List.make_list,LOAD_FIELD,0,31,1
28,42,84,108,List.make_list,LOAD_FIELD,30,1,1
28,42,120,108,List.make_list,STORE_FIELD,30,1,1
43,43,96,109,List.is_shorter_than,LOAD_FIELD,18049,1,1
44,43,116,109,List.is_shorter_than,LOAD_FIELD,18049,1,1
51,44,4,110,List.tail,LOAD_FIELD,2808,1,1
52,44,32,110,List.tail,LOAD_FIELD,701,1,1
53,44,56,110,List.tail,LOAD_FIELD,701,1,1
53,44,44,110,List.tail,LOAD_FIELD,701,1,1
54,44,76,110,List.tail,LOAD_FIELD,701,1,1
54,44,88,110,List.tail,LOAD_FIELD,701,1,1
55,44,108,110,List.tail,LOAD_FIELD,701,1,1
55,44,120,110,List.tail,LOAD_FIELD,701,1,1
64,48,16,0,repl,LOAD_FIELD,0,1,1
64,48,4,0,repl,LOAD_FIELD,0,1,1
