Line Number,Bytecode ID,Instruction Index,Function identifier,Function label,Instruction,Hits,Misses,Classes seen
1,25,4,98,&,LOAD_FIELD,0,9999,1
1,9,4,90,/,LOAD_FIELD,0,9999,1
1,29,4,100,^,LOAD_FIELD,0,4992,1
1,23,4,97,>=,LOAD_FIELD,11009,9301,1
1,3,4,87,+,LOAD_FIELD,9307,1,1
1,5,4,88,-,LOAD_FIELD,356,8952,1
1,21,4,96,>,LOAD_FIELD,24753,9313,1
1,13,4,92,=,LOAD_FIELD,269872,13,3
1,17,4,94,<,LOAD_FIELD,2334,9348,1
1,0,4,43,lambda-43,LOAD_FIELD,5014,55483,1
1,1,4,44,lambda-44,LOAD_FIELD,0,10000,1
1,15,12,93,!=,LOAD_FIELD,129856,1,1
28,37,24,104,Richards.benchmark,LOAD_FIELD,0,1,1
38,40,16,106,_RBObject.append,STORE_FIELD,20113,1,1
46,40,112,106,_RBObject.append,LOAD_FIELD,10466,1,1
54,40,208,106,_RBObject.append,STORE_FIELD,10126,1,1
63,42,16,125,_Scheduler.init,STORE_FIELD,0,1,1
66,42,40,125,_Scheduler.init,STORE_FIELD,0,1,1
67,42,64,125,_Scheduler.init,STORE_FIELD,0,1,1
68,42,88,125,_Scheduler.init,STORE_FIELD,0,1,1
70,42,128,125,_Scheduler.init,STORE_FIELD,0,1,1
72,42,152,125,_Scheduler.init,STORE_FIELD,0,1,1
73,42,176,125,_Scheduler.init,STORE_FIELD,0,1,1
80,43,28,107,fn,LOAD_FIELD,18587,1,1
82,43,72,107,fn,LOAD_FIELD,9293,1,1
84,43,116,107,fn,STORE_FIELD,9293,1,1
85,43,128,107,fn,LOAD_FIELD,9293,1,1
88,43,176,107,fn,STORE_FIELD,9295,1,1
91,43,232,107,fn,LOAD_FIELD,9295,1,1
94,44,44,108,_Scheduler.create_device,LOAD_FIELD,1,1,1
102,45,40,109,fn,LOAD_FIELD,11626,1,1
103,45,56,109,fn,LOAD_FIELD,2325,2,1
105,45,80,109,fn,LOAD_FIELD,9298,2,1
109,45,112,109,fn,LOAD_FIELD,23251,1,1
111,45,156,109,fn,LOAD_FIELD,2941,1,1
113,45,188,109,fn,LOAD_FIELD,20309,1,1
115,45,248,109,fn,STORE_FIELD,2324,1,1
115,45,236,109,fn,LOAD_FIELD,2324,1,1
116,45,260,109,fn,LOAD_FIELD,2324,1,1
119,45,296,109,fn,LOAD_FIELD,17984,1,1
121,45,340,109,fn,LOAD_FIELD,8684,1,1
123,45,376,109,fn,LOAD_FIELD,9299,1,1
123,45,388,109,fn,STORE_FIELD,9299,1,1
124,45,408,109,fn,LOAD_FIELD,9298,2,1
124,45,432,109,fn,STORE_FIELD,9299,1,1
124,45,404,109,fn,LOAD_FIELD,9299,1,1
125,45,448,109,fn,LOAD_FIELD,2324,6976,1
125,45,468,109,fn,STORE_FIELD,9299,1,1
126,45,480,109,fn,LOAD_FIELD,9299,1,1
129,46,44,110,_Scheduler.create_handler,LOAD_FIELD,1,1,1
136,47,8,111,fn,LOAD_FIELD,9999,1,1
136,47,12,111,fn,LOAD_FIELD,0,10000,1
136,47,32,111,fn,STORE_FIELD,9999,1,1
137,47,56,111,fn,LOAD_FIELD,9999,1,1
138,47,72,111,fn,LOAD_FIELD,0,1,1
140,47,124,111,fn,LOAD_FIELD,9998,1,1
141,47,180,111,fn,STORE_FIELD,5006,1,1
141,47,160,111,fn,LOAD_FIELD,5006,1,1
142,47,192,111,fn,LOAD_FIELD,5006,1,1
145,47,248,111,fn,LOAD_FIELD,4991,1,1
145,47,276,111,fn,STORE_FIELD,4991,1,1
146,47,288,111,fn,LOAD_FIELD,4991,1,1
149,48,44,112,_Scheduler.create_idler,LOAD_FIELD,0,1,1
154,49,24,113,_Scheduler.create_packet,LOAD_FIELD,0,8,1
160,50,36,114,_Scheduler.create_task,LOAD_FIELD,5,1,1
160,50,24,114,_Scheduler.create_task,LOAD_FIELD,0,6,1
162,50,88,114,_Scheduler.create_task,STORE_FIELD,5,1,1
163,50,100,114,_Scheduler.create_task,LOAD_FIELD,5,1,1
163,50,104,114,_Scheduler.create_task,LOAD_FIELD,5,1,1
