Line Number,Bytecode ID,Instruction Index,Function identifier,Function label,Instruction,Hits,Misses,Classes seen
1,23,4,96,>=,LOAD_FIELD,10962,119578,2
1,0,4,42,lambda-42,LOAD_FIELD,121083,765534,1
1,5,4,87,-,LOAD_FIELD,1453442,1838367,2
1,7,4,88,*,LOAD_FIELD,95157,197620,2
1,17,4,93,<,LOAD_FIELD,2957023,2512746,2
1,3,4,86,+,LOAD_FIELD,859254,2236400,2
1,13,4,91,=,LOAD_FIELD,293,5863666,>= 4
1,21,4,95,>,LOAD_FIELD,1555923,897834,2
1,9,4,89,/,LOAD_FIELD,440441,1719528,1
1,19,4,94,<=,LOAD_FIELD,1548602,987171,1
1,15,12,92,!=,LOAD_FIELD,4120,3450173,>= 4
1,2,12,63,lambda-63,LOAD_FIELD,117624,1,1
15,39,60,104,empty_vec,LOAD_FIELD,538293,44027,1
16,39,84,104,empty_vec,LOAD_FIELD,44026,538294,1
35,71,16,126,_Vector2D.init-values,STORE_FIELD,435073,1,1
36,71,40,126,_Vector2D.init-values,STORE_FIELD,435073,1,1
38,45,44,107,Vector.at,LOAD_FIELD,52291,1,1
38,45,12,107,Vector.at,LOAD_FIELD,52291,1,1
38,45,84,107,Vector.at,LOAD_FIELD,41527,10765,1
38,45,80,107,Vector.at,LOAD_FIELD,52291,1,1
38,45,48,107,Vector.at,LOAD_FIELD,52291,1,1
41,72,24,127,_Vector2D.plus,LOAD_FIELD,0,207536,1
41,72,72,127,_Vector2D.plus,LOAD_FIELD,207535,1,1
41,72,80,127,_Vector2D.plus,LOAD_FIELD,207535,1,1
41,72,44,127,_Vector2D.plus,LOAD_FIELD,207535,1,1
41,72,52,127,_Vector2D.plus,LOAD_FIELD,207535,1,1
47,73,80,128,_Vector2D.minus,LOAD_FIELD,207535,1,1
47,73,24,128,_Vector2D.minus,LOAD_FIELD,0,207536,1
47,73,72,128,_Vector2D.minus,LOAD_FIELD,207535,1,1
47,73,44,128,_Vector2D.minus,LOAD_FIELD,207535,1,1
47,73,52,128,_Vector2D.minus,LOAD_FIELD,207535,1,1
52,74,20,129,_Vector2D.compare_to,LOAD_FIELD,1088614,1,1
52,74,12,129,_Vector2D.compare_to,LOAD_FIELD,1088614,1,1
56,74,104,129,_Vector2D.compare_to,LOAD_FIELD,965167,1,1
56,74,96,129,_Vector2D.compare_to,LOAD_FIELD,965167,1,1
66,79,16,130,_Vector3D.init-values,STORE_FIELD,110313,1,1
67,79,40,130,_Vector3D.init-values,STORE_FIELD,110313,1,1
68,79,64,130,_Vector3D.init-values,STORE_FIELD,110313,1,1
68,47,12,109,Vector.append,LOAD_FIELD,107052,1,1
69,47,60,109,Vector.append,STORE_FIELD,41719,1,1
71,47,92,109,Vector.append,LOAD_FIELD,51662,13671,1
71,47,88,109,Vector.append,LOAD_FIELD,65332,1,1
71,47,80,109,Vector.append,LOAD_FIELD,65332,1,1
72,47,136,109,Vector.append,LOAD_FIELD,2306,1,1
72,47,140,109,Vector.append,LOAD_FIELD,2306,1,1
73,80,80,131,_Vector3D.plus,LOAD_FIELD,12914,1,1
73,80,72,131,_Vector3D.plus,LOAD_FIELD,12914,1,1
73,80,108,131,_Vector3D.plus,LOAD_FIELD,12914,1,1
73,80,24,131,_Vector3D.plus,LOAD_FIELD,0,12915,1
73,80,100,131,_Vector3D.plus,LOAD_FIELD,12914,1,1
73,80,44,131,_Vector3D.plus,LOAD_FIELD,12914,1,1
73,80,52,131,_Vector3D.plus,LOAD_FIELD,12914,1,1
74,47,208,109,Vector.append,LOAD_FIELD,84866,1,1
74,47,212,109,Vector.append,LOAD_FIELD,84866,1,1
75,47,256,109,Vector.append,LOAD_FIELD,80253,2307,1
75,47,252,109,Vector.append,LOAD_FIELD,82559,1,1
75,47,236,109,Vector.append,LOAD_FIELD,80253,2307,1
76,47,284,109,Vector.append,LOAD_FIELD,2306,80254,1
78,47,332,109,Vector.append,STORE_FIELD,2306,1,1
79,81,52,132,_Vector3D.minus,LOAD_FIELD,64483,1,1
79,81,100,132,_Vector3D.minus,LOAD_FIELD,64483,1,1
79,81,72,132,_Vector3D.minus,LOAD_FIELD,64483,1,1
79,81,80,132,_Vector3D.minus,LOAD_FIELD,64483,1,1
79,81,108,132,_Vector3D.minus,LOAD_FIELD,64483,1,1
79,81,44,132,_Vector3D.minus,LOAD_FIELD,64483,1,1
79,81,24,132,_Vector3D.minus,LOAD_FIELD,0,64484,1
82,47,352,109,Vector.append,LOAD_FIELD,107052,1,1
82,47,356,109,Vector.append,LOAD_FIELD,65333,41720,1
82,47,368,109,Vector.append,LOAD_FIELD,107052,1,1
83,47,392,109,Vector.append,LOAD_FIELD,107052,1,1
83,47,396,109,Vector.append,LOAD_FIELD,41719,65334,1
83,47,416,109,Vector.append,STORE_FIELD,107052,1,1
84,82,56,133,_Vector3D.dot,LOAD_FIELD,32241,1,1
84,82,88,133,_Vector3D.dot,LOAD_FIELD,32241,1,1
84,82,36,133,_Vector3D.dot,LOAD_FIELD,32241,1,1
