Line Number,Bytecode ID,Instruction Index,Function identifier,Function label,Instruction,Hits,Misses,Classes seen
1,3,4,87,+,LOAD_FIELD,24,2879976,1
1,13,4,92,=,LOAD_FIELD,0,30,1
4,37,16,104,A.init,STORE_FIELD,0,4,>= 4
5,37,40,104,A.init,STORE_FIELD,0,4,>= 4
6,37,64,104,A.init,STORE_FIELD,0,4,>= 4
8,37,88,104,A.init,STORE_FIELD,0,4,>= 4
9,37,112,104,A.init,STORE_FIELD,0,4,>= 4
10,37,136,104,A.init,STORE_FIELD,0,4,>= 4
11,37,160,104,A.init,STORE_FIELD,0,4,>= 4
12,37,184,104,A.init,STORE_FIELD,0,4,>= 4
13,37,208,104,A.init,STORE_FIELD,0,4,>= 4
14,37,232,104,A.init,STORE_FIELD,0,4,>= 4
22,38,16,105,resetxyz,STORE_FIELD,3,3,3
23,38,40,105,resetxyz,STORE_FIELD,3,3,3
24,38,64,105,resetxyz,STORE_FIELD,3,3,3
30,39,20,106,stress-test,LOAD_FIELD,3,960001,1
32,39,44,106,stress-test,LOAD_FIELD,959999,1,1
32,39,56,106,stress-test,LOAD_FIELD,3,959997,1
35,39,92,106,stress-test,LOAD_FIELD,720000,240000,>= 4
36,39,104,106,stress-test,LOAD_FIELD,720000,240000,>= 4
37,39,116,106,stress-test,LOAD_FIELD,720000,240000,>= 4
38,39,128,106,stress-test,LOAD_FIELD,720000,240000,>= 4
39,39,140,106,stress-test,LOAD_FIELD,720000,240000,>= 4
40,39,152,106,stress-test,LOAD_FIELD,720000,240000,>= 4
41,39,164,106,stress-test,LOAD_FIELD,720000,240000,>= 4
43,39,208,106,stress-test,STORE_FIELD,720000,240000,>= 4
43,39,188,106,stress-test,LOAD_FIELD,720000,240000,>= 4
44,39,232,106,stress-test,LOAD_FIELD,720000,240000,>= 4
44,39,252,106,stress-test,STORE_FIELD,720000,240000,>= 4
45,39,296,106,stress-test,STORE_FIELD,720000,240000,>= 4
45,39,276,106,stress-test,LOAD_FIELD,720000,240000,>= 4
47,39,308,106,stress-test,LOAD_FIELD,3,959997,1
54,40,48,107,check-benchmark-result,LOAD_FIELD,10,4,1
54,40,36,107,check-benchmark-result,LOAD_FIELD,3,11,1
55,40,72,107,check-benchmark-result,LOAD_FIELD,7,3,1
57,40,120,107,check-benchmark-result,LOAD_FIELD,6,4,>= 4
58,40,148,107,check-benchmark-result,LOAD_FIELD,6,4,>= 4
59,40,176,107,check-benchmark-result,LOAD_FIELD,6,4,>= 4
61,40,204,107,check-benchmark-result,LOAD_FIELD,3,7,1
67,41,180,0,repl,LOAD_FIELD,0,1,1
68,41,212,0,repl,LOAD_FIELD,0,1,1
69,41,244,0,repl,LOAD_FIELD,0,1,1
70,41,276,0,repl,LOAD_FIELD,0,1,1
