# Code label is the function/method name. Exceptions: if it is the top-level code, it is "repl", classes field and init have their labels as well
Bytecode ID,Label,Inclusive Compilation Time(ticks),Inclusive Compilation Time(ticks)_std,Inclusive Compilation Time(μs),Inclusive Compilation Time(μs)_std
0,lambda-43,10831.24,1054.321400092911,4.011570370370371,0.3904894074418189
1,lambda-44,4307.16,507.21393304753667,1.5952444444444445,0.1878570122398284
2,lambda-64,107933.8,11207.906773563824,39.97548148148148,4.151076582801416
3,+,5290.72,583.0934758961491,1.9595259259259261,0.21596054662820338
4,repl,114981.84,13905.654840578565,42.58586666666667,5.150242533547616
5,-,3624.76,402.8834621595092,1.3425037037037038,0.1492160970961145
6,repl,97895.2,10815.640156735984,36.25748148148148,4.005792650642957
7,*,3521.68,402.6725737279025,1.3043259259259259,0.1491379902695935
8,repl,103152.4,10173.05213366597,38.20459259259259,3.7677970865429518
9,/,3238.36,314.5712183728377,1.1993925925925926,0.11650785865660655
10,repl,96746.12,14280.993793864911,35.83189629629629,5.289256960690707
11,%,18965.28,5294.117363139381,7.024177777777777,1.9607842085701412
12,repl,105131.08,11906.070783582358,38.937437037037036,4.409655845771244
13,=,3007.16,290.22161553276663,1.1137629629629628,0.10748948723435801
14,repl,98640.48,9970.601533938228,36.53351111111111,3.6928153829400845
15,!=,6217.28,642.4050168813175,2.302696296296296,0.23792778403011758
16,repl,201516.76,21569.691619341,74.63583703703704,7.98877467383
17,<,3179.52,310.9544385551408,1.1776,0.11516831057597808
18,repl,98685.44,9694.049805895555,36.550162962962965,3.5903888169983533
19,<=,15393.72,1536.7578917836029,5.701377777777777,0.5691695895494825
20,repl,100023.24,9944.879711280411,37.04564444444445,3.683288781955708
21,>,3078.72,288.2857879088112,1.1402666666666665,0.10677251404030044
22,repl,90020.24,22698.548307946116,33.34082962962963,8.406869743683746
23,>=,2934.28,265.6654363699439,1.0867703703703704,0.09839460606294219
24,repl,86319.12,8442.632669580587,31.970044444444444,3.126900988733551
25,&,3170.28,712.0683308188211,1.1741777777777778,0.26372901141437816
26,repl,91184.2,9489.072221911536,33.77192592592593,3.514471193300569
27,|,3037.4,287.2027656054666,1.124962962962963,0.10637139466869133
28,repl,90009.08,11403.290396680266,33.336696296296296,4.223440887659358
29,^,15562.6,2196.577755676929,5.763925925925926,0.8135473169173811
30,repl,98167.8,9748.644449986103,36.358444444444444,3.6106090555504085
31,not,4394.36,468.47606869377586,1.6275407407407405,0.17350965507176883
32,repl,96866.72,10935.20879122823,35.876562962962964,4.050077330084529
33,print,16826.72,1639.5137039092176,6.232118518518519,0.6072272977441546
34,repl,199359.84,19736.6729154079,73.83697777777778,7.309878857558481
35,println,8421.68,832.9366156642924,3.119140740740741,0.30849504283862683
36,repl,278981.2,26896.3442990504,103.32637037037037,9.961608999648297
37,repl,2609.28,269.0851500160938,0.9664,0.09966116667262732
38,vector_with,25070.72,2387.48651916271,9.285451851851851,0.8842542663565592
39,empty_vec,20132.84,1934.0490291993478,7.456607407407407,0.7163144552590177
40,max,7123.44,696.3384164356304,2.638311111111111,0.2579031171983816
41,Vector.init,22000.4,2147.4756704330866,8.148296296296296,0.7953613594196617
42,Vector.init-values,10364.48,1008.5873377943947,3.838696296296296,0.3735508658497758
43,Vector.at,15277.84,1560.1204997940224,5.658459259259259,0.5778224073311194
44,Vector.at_put,110317.16,12448.164602618232,40.858207407407406,4.6104313343030485
45,Vector.append,63310.08,18739.254353035372,23.44817777777778,6.940464575198286
46,Vector.is_empty,3487.72,836.2111841453664,1.291748148148148,0.3097078459797653
47,Vector.for_each,20929.12,5905.11240501977,7.751525925925925,2.187078668525841
48,Vector.has_some,23548.6,5849.707339618254,8.721703703703703,2.1665582739326865
49,Vector.get_one,27290.64,6331.159489382651,10.107644444444444,2.3448738849565376
50,Vector.first,5521.12,1263.20248413244,2.044859259259259,0.46785277190090374
51,Vector.remove_first,16298.76,3837.0459702692096,6.036577777777778,1.4211281371367444
52,State.init,12138.88,2914.9418073793795,4.495881481481481,1.0796080768071776
53,each,11645.24,2657.503965938639,4.313051851851852,0.9842607281254218
54,Vector.remove,468770.28,114145.26415270775,173.61862222222223,42.27602376026213
55,Vector.remove_all,10653.64,2535.008455164421,3.9457925925925923,0.938892020431267
56,Vector.size,3176.0,663.4768039560653,1.1762962962962964,0.24573214961335751
57,Vector.capacity,11229.44,2708.6519891575863,4.159051851851852,1.0032044404287357
58,Vector.sort,7303.84,2177.5868253736326,2.705125925925926,0.8065136390272714
59,Vector._sort,124822.76,30476.86840704616,46.23065185185185,11.287729039646726
60,Vector._swap,2350.84,345.65432537878246,0.8706814814814815,0.12802012051066017
61,Vector._default_sort,958.16,163.35404894315425,0.35487407407407406,0.06050149960857565
62,repl,48705064.84,3142215.3853964843,18038.912903703706,1163.783476072772
63,Entry.init,4458.88,176.17114128144883,1.651437037037037,0.06524857084498105
64,Entry.init-values,4702.72,215.3117379285111,1.7417481481481483,0.07974508812167078
65,Entry.match,3815.68,172.76212736899603,1.4132148148148147,0.06398597309962815
66,_hash,5485.32,238.80676502228349,2.0316,0.08844695000825314
67,Dictionary.init,9910.12,1525.681027459875,3.6704148148148152,0.5650670472073611
68,Dictionary.init-values,7482.2,384.534332747057,2.771185185185185,0.14242012323965075
69,Dictionary.size,6211.28,1061.8781789540528,2.300474074074074,0.39328821442742695
70,Dictionary.is_empty,1580.36,104.21460589395639,0.5853185185185185,0.03859800218294681
71,Dictionary._get_bucket_idx,10713.28,4428.456344311117,3.9678814814814816,1.640169016411525
72,Dictionary._get_bucket,2617.68,147.8672101472625,0.9695111111111111,0.054765633387875004
73,Dictionary.at,20115.44,1650.6998906462652,7.450162962962962,0.6113703298689871
74,Dictionary.contains_key,17271.0,6276.359847776059,6.3966666666666665,2.32457772139854
75,Dictionary.at_put,24460.2,881.0466178682844,9.059333333333333,0.3263135621734387
76,Dictionary._new_entry,10084.12,1226.1606519905115,3.7348592592592595,0.45413357481130057
77,Dictionary._insert_bucket_entry,23365.96,8468.518512366003,8.65405925925926,3.1364883379133346
78,Dictionary._resize,7989.84,411.4924236166173,2.9592,0.15240460133948788
79,Dictionary._transfer_entries,26584.84,1801.413553353056,9.846237037037037,0.6671902049455762
80,Dictionary._split_bucket,42901.8,6708.997142126477,15.889555555555557,2.4848137563431396
81,Dictionary.remove_all,4777.2,1128.665240223954,1.7693333333333332,0.4180241630459089
82,Dictionary.get_keys,21305.28,6412.739116884805,7.890844444444444,2.375088561809187
83,Dictionary.get_values,13810.24,2561.7442284984063,5.114903703703703,0.9487941587031135
84,repl,16524180.24,812818.9951009012,6120.066755555556,301.04407225959307
85,_IdEntry.match,3568.0,431.0007339356409,1.3214814814814815,0.15962990145764477
86,IdentityDictionary._new_entry,4599.88,379.0084614854278,1.7036592592592592,0.14037350425386214
87,repl,282707.92,37702.11863902373,104.70663703703703,13.963747644082861
88,DeltaBlue.inner_benchmark_loop,3611.0,181.75437563157732,1.3374074074074074,0.0673164354191027
89,DeltaBlue.benchmark,1119.76,82.1284608502598,0.41472592592592594,0.030417948463059185
90,DeltaBlue.verify_result,837.32,138.32798055376088,0.3101185185185185,0.05123258539028181
91,repl,137507.44,10182.64563705307,50.92868148148148,3.7713502359455817
92,_Plan.init,7275.32,813.4690250365268,2.694562962962963,0.3012848240876025
93,lambda,1217.6,93.37831763360076,0.45096296296296295,0.0345845620865188
94,_Plan.execute,35888.56,1401.8323309446218,13.292059259259258,0.5191971596091192
95,repl,116284.0,5861.762665872817,43.06814814814815,2.1710232095825246
96,_Planner.init,1513.76,101.41580603774601,0.5606518518518518,0.037561409643609635
97,_Planner.incremental_add,8360.56,363.7058780309796,3.0965037037037035,0.13470588075221465
98,_Planner.incremental_remove,12659.32,730.430860827347,4.6886370370370365,0.27052994845457295
99,each,3961.36,244.40429536290227,1.4671703703703705,0.0905201093936675
100,_Planner.extract_plan_from_constraints,193705.2,12089.567072480302,71.74266666666666,4.477617434251964
101,_Planner._make_plan,27666.32,1872.3866842909883,10.246785185185185,0.6934765497374031
102,_Planner.propagate_from,9614.24,543.6896834010503,3.5608296296296293,0.20136654940779639
103,each,5175.44,6139.155908741586,1.9168296296296294,2.273761447682069
104,_Planner._add_constraints_consuming_to,185660.92,18204.33659575181,68.76330370370371,6.7423468873154855
105,_Planner.add_propagate,19697.24,1524.253816241419,7.295274074074075,0.5645384504597848
106,_Planner.change,19413.36,818.7494137090906,7.190133333333334,0.3032405235959595
107,each,12358.12,6634.526837134134,4.577081481481482,2.457232161901531
108,_Planner._constraints_consuming,180502.84,12849.246877572885,66.8529037037037,4.758980325026994
109,_Planner._new_mark,9611.6,3487.1994962334193,3.559851851851852,1.2915553689753405
110,each,3304.12,426.1396551768981,1.223748148148148,0.15782950191736966
111,recalc,8734.56,1333.4022795779501,3.2350222222222222,0.4938526961399815
112,comp,3069.24,269.62343808976794,1.1367555555555555,0.09986053262583998
113,_Planner._remove_propagate_from,344938.4,20712.07523969277,127.75496296296298,7.671138977663989
114,repl,9973852.04,195622.5017871608,3694.0192740740736,72.4527784396892
115,_Planner_chain_test,61339.2,3345.384343862939,22.71822222222222,1.2390312384677553
116,repl,10515739.08,204994.19630976702,3894.718177777778,75.92377641102482
117,_Planner_projection_test,92795.4,6522.66231171391,34.36866666666666,2.415800856190337
118,repl,16150212.6,331654.95775229036,5981.560222222222,122.83516953788532
119,_Sym.init,2271.24,555.4664728397022,0.8412,0.2057283232739638
120,_Sym.init-values,7258.48,298.493512731612,2.6883259259259256,0.11055315286355999
121,_Sym.custom_hash,1022.48,176.4981632557491,0.3786962962962963,0.06536969009472189
122,repl,75282.48,4049.186051944918,27.882399999999997,1.499698537757377
123,_Strength.init,8426.88,468.882677114392,3.121066666666666,0.17366025078310815
124,_Strength.init-values,4893.8,747.8320503363066,1.8125185185185186,0.2769748334578913
125,_Strength.same_as,2547.4,439.7352171756202,0.9434814814814815,0.1628648952502297
126,_Strength.stronger,2055.48,418.9683754077827,0.7612888888888889,0.15517347237325285
127,_Strength.weaker,2287.2,482.7633044912023,0.847111111111111,0.17880122388563047
128,_Strength.strongest,8745.84,688.1068782670084,3.2392,0.25485439935815124
129,_Strength.weakest,2569.6,416.839028295341,0.9517037037037037,0.15438482529457073
130,repl,559346.8,20233.478751004408,207.1654814814815,7.493881018890521
131,_Strength_of,2182.84,456.9589076331767,0.8084592592592593,0.16924403986413952
132,repl,41869.6,6159.010257089914,15.507259259259259,2.2811149100333017
133,_create_strength_table,15348.04,1477.123762794521,5.68445925925926,0.5470828751090819
134,repl,806394.08,30075.67512590838,298.66447407407406,11.139138935521622
135,lambda,10714.8,1149.6452691582563,3.968444444444444,0.4257945441326875
136,_create_strength_constants,153193.68,9253.942774574632,56.7384,3.4273862128054193
137,repl,339049.8,17286.554172039523,125.574,6.402427471125749
138,repl,15054.76,6435.53080937131,5.575837037037037,2.3835299293967815
139,_AbstractConstraint.init,1734.56,233.17823261030458,0.6424296296296296,0.08636230837418687
140,_AbstractConstraint.init-strength,2988.84,532.7196436921678,1.1069777777777778,0.1973035717378399
141,_AbstractConstraint.is_input,835.92,117.5914476967971,0.3096,0.04355238803585078
142,_AbstractConstraint.add_constraint,3106.32,488.45735677513863,1.150488888888889,0.18091013213894022
143,_AbstractConstraint.destroy_constraint,4662.64,774.1636635487251,1.7269037037037038,0.2867272827958241
144,lambda,6234.68,996.2995705538137,2.309140740740741,0.3689998409458569
145,_AbstractConstraint.inputs_known,195005.8,10910.061009201076,72.22437037037037,4.040763336741139
146,each,1721.0,300.0376166892602,0.6374074074074074,0.11112504321824451
147,_AbstractConstraint.satisfy,58286.64,4409.695726279461,21.587644444444443,1.6332206393627635
148,_AbstractConstraint.is_satisfied,1437.36,286.3097908324663,0.5323555555555555,0.10604066327128382
149,_AbstractConstraint.add_to_graph,1060.6,277.36581605952694,0.3928148148148148,0.10272808002204702
150,_AbstractConstraint.remove_from_graph,1049.32,184.94460726147716,0.388637037037037,0.06849800268943598
151,_AbstractConstraint.choose_method,1129.76,285.3845640320357,0.41842962962962965,0.10569798667853174
152,_AbstractConstraint.execute,921.44,302.5696856822863,0.3412740740740741,0.11206284654899493
153,_AbstractConstraint.inputs_do,7543.56,1381.9922496017057,2.7939111111111115,0.5118489813339651
154,_AbstractConstraint.inputs_has_one,6649.8,432.98135888610403,2.462888888888889,0.1603634662541126
155,_AbstractConstraint.mark_unsatisfied,869.72,186.49244007219605,0.3221185185185185,0.06907127410081335
156,_AbstractConstraint.get_output,732.48,114.10382669002,0.2712888888888889,0.04226067655185926
157,_AbstractConstraint.recalculate,942.28,178.64478950231523,0.3489925925925926,0.06616473685270935
158,repl,2681047.24,81180.16771972358,992.9804592592593,30.06672878508281
159,_BinaryConstraint.init,4126.44,450.8336568208377,1.528311111111111,0.1669754284521621
160,_BinaryConstraint.init-binary-constraint,10550.6,1840.0995203787097,3.90762962962963,0.6815183408810036
161,_BinaryConstraint.is_satisfied,1958.0,334.9902222149056,0.7251851851851852,0.12407045267218726
162,_BinaryConstraint.add_to_graph,4983.88,546.0469307781564,1.8458814814814815,0.20223960399190977
163,_BinaryConstraint.remove_from_graph,15580.56,6257.07129822095,5.770577777777778,2.3174338141559074
164,_BinaryConstraint.choose_method,59088.84,6119.636685094223,21.884755555555554,2.266532105590453
165,_BinaryConstraint.inputs_do,6546.4,790.8921338254281,2.4245925925925924,0.29292301252793634
166,_BinaryConstraint.inputs_has_one,11220.56,963.5444804025842,4.155762962962963,0.3568683260750312
167,_BinaryConstraint.mark_unsatisfied,1941.44,318.83436682608055,0.7190518518518518,0.11808680252817798
168,_BinaryConstraint.get_output,3644.32,542.6117279850655,1.3497481481481481,0.20096730666113538
169,_BinaryConstraint.recalculate,21988.72,2470.2172013895492,8.14397037037037,0.9148952597739072
170,repl,8117345.88,162453.87021195397,3006.4244,60.16810007850147
171,_UnaryConstraint.init,3194.76,416.16968478087426,1.1832444444444445,0.1541369202892127
172,_UnaryConstraint.init-values,5014.88,732.2003918856847,1.857362962962963,0.2711853303280314
173,_UnaryConstraint.is_satisfied,1587.24,446.4479108953889,0.5878666666666666,0.16535107810940328
174,_UnaryConstraint.add_to_graph,10227.72,4631.439411461713,3.788044444444444,1.7153479301710046
175,_UnaryConstraint.remove_from_graph,14196.12,5533.135486488355,5.257822222222223,2.0493094394401314
176,_UnaryConstraint.choose_method,5402.32,664.9941365400549,2.000859259259259,0.2462941246444648
177,_UnaryConstraint.inputs_do,807.6,156.14383740379793,0.2991111111111111,0.057831050890295534
178,_UnaryConstraint.inputs_has_one,892.2,176.70279440637148,0.3304444444444445,0.06544547940976722
179,_UnaryConstraint.mark_unsatisfied,2024.52,521.2238048035388,0.7498222222222222,0.1930458536309403
180,_UnaryConstraint.get_output,1292.68,323.88599909252525,0.4787703703703704,0.11995777744167602
181,_UnaryConstraint.recalculate,14197.64,5939.31546512607,5.258385185185185,2.1997464685652113
182,repl,1211551.2,47400.99787290285,448.72266666666667,17.55592513811217
183,_EditConstraint.is_input,7083.08,2449.5616670776685,2.623362962962963,0.9072450618806179
184,_EditConstraint.execute,878.48,220.0417622699317,0.32536296296296296,0.08149694898886359
185,repl,24424.28,3576.953714990407,9.04602962962963,1.3247976722186694
186,_EqualityConstraint.init-values,4677.0,555.573944820368,1.7322222222222223,0.2057681277112474
187,_EqualityConstraint.execute,14510.12,2528.2025690604937,5.374118518518519,0.936371321874257
188,repl,396384.84,20752.198215856657,146.8092,7.68599933920617
189,_ScaleConstraint.init,9178.24,1931.02614742546,3.3993481481481482,0.7151948694168371
190,_ScaleConstraint.init-values,7550.96,998.7740436175148,2.796651851851852,0.36991631245093143
191,_ScaleConstraint.add_to_graph,14844.84,2635.359096160196,5.498088888888889,0.9760589245037762
192,_ScaleConstraint.remove_from_graph,14875.4,1615.4587015230472,5.509407407407407,0.5983180376011286
193,_ScaleConstraint.execute,21574.32,3082.1518684854195,7.990488888888889,1.141537729068674
194,_ScaleConstraint.inputs_do,19021.88,2655.1303103422174,7.045140740740741,0.9833815964230435
195,_ScaleConstraint.recalculate,23818.76,4206.281093210729,8.821762962962962,1.557881886374344
196,repl,5197769.28,143901.25916980262,1925.0997333333335,53.29676265548245
197,_StayConstraint.execute,784.92,214.6892238961771,0.2907111111111111,0.07951452736895448
198,repl,12127.52,843.2520682525749,4.491674074074075,0.312315580834287
199,_Variable.init,7802.44,766.0893846713466,2.8897925925925922,0.2837368091375358
200,_Variable.init-values,11399.76,874.5173026607657,4.222133333333334,0.3238952972817651
201,_Variable.add_constraint,2525.12,456.81240913843084,0.9352296296296296,0.16918978116238179
202,_Variable.remove_constraint,11171.4,1366.6960756749493,4.137555555555555,0.5061837317314627
203,repl,603654.16,24692.89907956271,223.57561481481483,9.145518177615818
204,repl,1418.84,449.7219258744728,0.5254962962962962,0.16656367624980473
205,repl,1841.68,403.14829600461985,0.6821037037037038,0.14931418370541477
