# Code label is the function/method name. Exceptions: if it is the top-level code, it is "repl", classes field and init have their labels as well
Bytecode ID,Label,Inclusive Compilation Time(ticks),Inclusive Compilation Time(ticks)_std,Inclusive Compilation Time(μs),Inclusive Compilation Time(μs)_std
0,lambda-43,9026.0,1579.9585631352772,3.342962962962963,0.5851698381982509
1,lambda-44,3615.76,737.9070944231395,1.3391703703703703,0.27329892386042204
2,lambda-64,95486.52,20097.451725194675,35.36537777777778,7.44350063896099
3,+,4836.28,735.0330838035212,1.7912148148148148,0.2722344754827856
4,repl,103540.32,15512.882327265677,38.34826666666667,5.745511973061362
5,-,3343.2,509.3469207861041,1.2382222222222221,0.18864700769855708
6,repl,89228.44,16097.443043450809,33.04757037037037,5.962015942018818
7,*,3176.88,460.09868684082664,1.1766222222222222,0.17040692105215802
8,repl,95282.32,15850.677535818138,35.28974814814815,5.8706213095622735
9,/,3004.24,449.2044014540757,1.1126814814814814,0.16637200053854656
10,repl,86834.44,13110.838042238027,32.1609037037037,4.85586594156964
11,%,2719.84,379.614377913123,1.007348148148148,0.14059791774560113
12,repl,97386.36,21110.14296760335,36.06902222222222,7.818571469482722
13,=,2834.8,485.9952128763981,1.049925925925926,0.17999822699125856
14,repl,84234.96,26683.168667938087,31.198133333333335,9.88265506219929
15,!=,5737.84,1203.588636757016,2.125125925925926,0.4457735691692652
16,repl,197912.92,39925.79691502215,73.30108148148149,14.787332190748943
17,<,3008.48,414.0822278588777,1.1142518518518518,0.1533637880958806
18,repl,101786.0,16430.876409730456,37.69851851851852,6.08550978138165
19,<=,14336.0,2228.1740305021244,5.3096296296296295,0.8252496409267127
20,repl,93664.32,22244.877061637068,34.69048888888889,8.238843356161876
21,>,2711.16,400.0973534590024,1.0041333333333333,0.14818420498481572
22,repl,80551.84,14387.671893134406,29.834014814814815,5.328767367827558
23,>=,2591.6,381.72818623107366,0.9598518518518518,0.14138080971521247
24,repl,80656.6,15099.618572017245,29.872814814814816,5.59245132296935
25,&,2908.56,424.3704658018722,1.0772444444444444,0.157174246593286
26,repl,97325.76,16095.031854277398,36.04657777777778,5.961122908991629
27,|,2808.08,414.21969129081884,1.0400296296296296,0.15341470047808106
28,repl,83172.76,13600.033624748348,30.804725925925926,5.0370494906475365
29,^,14370.28,2160.1146231869557,5.322325925925926,0.8000424530322058
30,repl,101476.64,15019.270714869303,37.58394074074074,5.562692857359001
31,not,3943.08,593.3662131071694,1.4604,0.21976526411376646
32,repl,89959.6,14066.248943728346,33.318370370370374,5.209721831010499
33,print,15960.96,2313.947920321282,5.911466666666667,0.8570177482671414
34,repl,184546.52,27685.032428018003,68.35056296296295,10.253715714080743
35,println,7846.56,1126.9805814744138,2.9061333333333335,0.417400215360894
36,repl,258178.6,38738.057922831555,95.6217037037037,14.347428860307984
37,_Body.init,31718.2,5732.254323793831,11.747481481481481,2.123057156960678
38,_Body.init-values,42436.32,5195.935057330875,15.717155555555555,1.9244203916040277
39,_Body.offset_momentum,33903.4,4110.169632528963,12.556814814814816,1.5222850490848012
40,jupiter,10420.44,1297.3001975059512,3.8594222222222223,0.4804815546318338
41,repl,3418207.56,430318.8277894521,1266.0028,159.377343625723
42,saturn,19968.12,2552.559384985499,7.3956,0.9453923648094441
43,repl,149878.64,19140.214446328147,55.51060740740741,7.0889683134548696
44,uranus,19464.76,2533.911516584103,7.209170370370369,0.9384857468830011
45,repl,152862.52,19532.65465018171,56.61574814814814,7.234316537104337
46,neptune,7845.52,983.7706352891115,2.9057481481481484,0.3643594945515228
47,repl,159529.64,20808.06773164913,59.08505185185186,7.706691752462641
48,sun,7467.28,936.9016902230761,2.7656592592592593,0.3470006260085467
49,repl,155015.4,20719.15980193114,57.41311111111111,7.6737628896041254
50,_create_bodies,80224.96,10275.55894097191,29.71294814814815,3.8057625707303373
51,repl,6369972.24,897050.2584100703,2359.248977777778,332.2408364481742
52,NBodySystem.init,4355.08,965.6524248995007,1.6129925925925925,0.35764904625907434
53,NBodySystem.advance,235621.24,48142.47476896052,87.26712592592592,17.83054621072612
54,NBodySystem.energy,74276.96,9713.500709794773,27.509985185185187,3.5975928554795455
55,repl,59251915.04,2356154.2545710495,21945.15371851852,872.6497239152035
56,NBody.inner_benchmark_loop,11597.32,1646.537076560925,4.295303703703704,0.6098285468744167
57,NBody._verify_result,22075.76,3459.7893445369523,8.176207407407407,1.2814034609396119
58,NBody.benchmark,2245.48,6124.877925447385,0.8316592592592593,2.268473305721254
59,NBody.verify_result,1015.8,261.8300586102305,0.3762222222222222,0.09697409578156685
60,repl,1406001.84,55185.936358178966,520.7414222222222,20.43923568821443
61,repl,1540.84,294.006549975628,0.5706814814814815,0.10889131480578815
62,repl,1759.08,432.9083816915254,0.651511111111111,0.16033643766352793
