Function object uid, Function label, calls, execution time(μs)
1023, lambda-41, 1, 2
2047, lambda-41, 1, 1
3071, lambda-41, 1, 1
4095, int[<], 1, 0
5119, int[<], 1, 1
6143, lambda-41, 1, 1
7167, int[<], 1, 1
8191, int[<], 1, 1
11263, int[<], 1, 0
12287, lambda-41, 1, 3
14335, int[<], 1, 0
15359, int[<], 1, 1
16383, int[<], 1, 1
17407, int[<], 1, 0
18431, lambda-41, 1, 2
19455, int[+], 1, 1
22527, int[<], 1, 1
24575, int[<], 1, 1
25599, int[-], 4, 4
26623, lambda-41, 1, 2
27647, int[<], 1, 1
28671, int[+], 1, 1
29695, int[+], 1, 1
30719, lambda-41, 1, 1
1022, int[<], 1, 1
2046, int[<], 1, 1
3070, int[<], 1, 1
6142, int[<], 1, 1
9214, lambda-41, 1, 1
10238, lambda-41, 1, 2
12286, int[<], 1, 1
13310, lambda-41, 1, 3
17406, int[+], 1, 1
18430, int[+], 1, 1
19454, int[-], 2, 2
20478, lambda-41, 1, 1
21502, lambda-41, 1, 2
22526, lambda-41, 1, 1
23550, lambda-41, 1, 3
25598, int[+], 5, 3
26622, int[+], 1, 1
28670, int[<], 1, 1
29694, int[+], 1, 1
30718, int[<], 1, 0
31742, lambda-41, 1, 1
3069, lambda-41, 2, 2
4093, lambda-41, 1, 3
5117, lambda-41, 1, 2
6141, lambda-41, 2, 4
7165, lambda-41, 1, 1
8189, lambda-41, 1, 2
9213, int[<], 1, 3
10237, int[<], 1, 1
11261, lambda-41, 1, 4
13309, int[<], 1, 1
14333, lambda-41, 1, 2
15357, lambda-41, 1, 4
16381, lambda-41, 1, 1
17405, int[+], 1, 0
18429, int[-], 2, 1
19453, int[+], 3, 2
20477, int[<], 1, 1
21501, int[+], 1, 1
22525, int[=], 1, 1
23549, int[<], 1, 1
24573, lambda-41, 1, 2
25597, int[<], 1, 0
26621, int[<], 1, 1
27645, lambda-41, 1, 1
29693, int[<], 1, 0
31741, int[+], 1, 1
1020, lambda-41, 1, 2
2044, lambda-41, 1, 1
3068, int[=], 2, 2
4092, int[+], 1, 0
5116, int[<], 1, 0
6140, int[=], 2, 0
7164, int[<], 1, 1
8188, int[<], 1, 0
11260, int[+], 1, 1
12284, lambda-41, 1, 1
14332, int[<], 1, 1
15356, int[<], 1, 1
16380, int[+], 1, 0
17404, int[<], 1, 1
18428, int[<], 1, 1
19452, int[<], 1, 1
21500, int[<], 1, 1
22524, int[+], 1, 1
24572, int[<], 1, 0
27644, int[<], 1, 1
28668, lambda-41, 1, 3
30716, lambda-41, 1, 4
31740, int[-], 1, 1
1019, int[<], 1, 1
2043, int[+], 1, 0
3067, int[+], 1, 1
4091, int[<], 1, 1
6139, int[+], 1, 1
9211, lambda-41, 1, 4
10235, lambda-41, 1, 4
11259, int[<], 1, 1
12283, int[<], 1, 1
13307, lambda-41, 1, 1
16379, int[<], 1, 1
20475, lambda-41, 1, 3
22523, int[+], 1, 0
23547, lambda-41, 1, 1
25595, lambda-41, 1, 2
26619, lambda-41, 1, 2
28667, int[<], 1, 0
29691, lambda-41, 1, 4
30715, int[<], 1, 1
31739, int[<], 1, 1
2042, int[<], 1, 1
3066, int[+], 1, 1
5114, lambda-41, 1, 12
6138, int[+], 1, 0
7162, lambda-41, 1, 2
8186, lambda-41, 1, 1
9210, int[+], 1, 0
10234, int[<], 1, 0
13306, int[+], 1, 1
14330, lambda-41, 1, 2
15354, lambda-41, 1, 1
17402, lambda-41, 1, 1
