# Omitting opcode pairs executed zero times
opcode,next opcode,counts,total dispatch cost(ticks),total dispatch cost(ticks)_std,total dispatch cost(μs),total dispatch cost(μs)_std
LOAD_FIELD,JUMP,25011,1248644.9,16976.84888590155,462.461074074074,6.287721809593166
LOAD_FIELD,JUMP_IF_FALSE,11015,512894.3,30172.557634729164,189.96085185185186,11.175021346195987
LOAD_FIELD,JUMP_IF_FALSE_PEEK,10010,662392.6,16193.245402750013,245.33059259259258,5.99749829731482
LOAD_FIELD,JUMP_IF_TRUE_PEEK,2000,190359.0,7158.430774820327,70.50333333333333,2.651270657340862
LOAD_FIELD,LOAD_CONST,63127,3632319.3,35508.463099587025,1345.3034444444443,13.151282629476675
LOAD_FIELD,LOAD_FIELD,574002,28099259.5,165296.20275942225,10407.133148148148,61.22081583682306
LOAD_FIELD,LOAD_GLOBAL,13,1148.9,262.01363966103185,0.4255185185185186,0.09704208876334512
LOAD_FIELD,LOAD_GLOBAL_BY_INDEX,202070,10699992.1,88597.71889061852,3962.9600370370367,32.81396995948834
LOAD_FIELD,LOAD_LOCAL_SAFE,261436,18884537.9,299697.08072791103,6994.2732962962955,110.99891878811519
LOAD_FIELD,LOAD_NONLOCAL,3002,607799.3,13734.749510485784,225.11085185185186,5.086944263142883
LOAD_FIELD,RETURN,21146,1119928.5,14926.335241339131,414.78833333333336,5.528272311607085
LOAD_FIELD,SWAP,114033,3993779.7,75255.05505182118,1479.1776666666667,27.872242611785623
LOAD_GLOBAL,ASSERT_FUNC,108,4300.7,125.81234982473342,1.5928518518518517,0.046597166601753115
LOAD_GLOBAL,CALL,13,641.0,17.83550568831441,0.2374074074074074,0.006605742847523855
LOAD_GLOBAL,CREATE_CLASS,9,639.4,182.01110434603478,0.2368148148148148,0.06741152012816103
LOAD_GLOBAL,CREATE_OBJECT,33,1858.8,267.5403757035169,0.6884444444444444,0.09908902803833958
LOAD_GLOBAL,DUPE,2,103.8,4.851478342244057,0.03844444444444444,0.001796843830460762
LOAD_GLOBAL,JUMP,2,86.5,3.0348848933344197,0.03203703703703704,0.001124031441975711
LOAD_GLOBAL,LOAD_CONST,10,425.2,19.481705318202092,0.15748148148148147,0.007215446414148923
LOAD_GLOBAL,LOAD_FIELD,12,529.8,31.21335746456199,0.19622222222222221,0.01156050276465259
